Year,UNIT_MEASURE,Sex,Age,Value
2020,% of total,Both sexes,15+,12.9
2020,% of total,Both sexes,15 - 24,28.1
2020,% of total,Both sexes,25 - 49,13.7
2020,% of total,Both sexes,50 - 64,8.7
2020,% of total,Both sexes,15 - 64,13.4
2020,% of total,M,15+,12.7
2020,% of total,M,15 - 24,26.2
2020,% of total,M,25 - 49,13.6
2020,% of total,M,50 - 64,8.7
2020,% of total,M,15 - 64,13.2
2020,% of total,F,15+,13.0
2020,% of total,F,15 - 24,30.7
2020,% of total,F,25 - 49,13.8
2020,% of total,F,50 - 64,8.6
2020,% of total,F,15 - 64,13.7
