Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
certain_conditions_originating,(P00-P96) Certain conditions originating in the perinatal period,certain_conditions_originating,(П00-П96) Одређена стања настала у перинаталном периоду,3,1
congenital_malformations_deformations,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",congenital_malformations_deformations,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",3,1
diseases_of_the_blood,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",diseases_of_the_blood,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",3,1
diseases_of_the_circulatory,(I00-I99) Diseases of the circulatory system,diseases_of_the_circulatory,(И00-И99) Болести циркулацијског система,3,1
diseases_of_the_digestive,(K00-K93) Diseases of the digestive system,diseases_of_the_digestive,(К00-К93) Болести дигестивног система,3,1
diseases_of_the_ear,(H60–H93) Diseases of the ear and adnexa,diseases_of_the_ear,diseases_of_the_ear,3,1
diseases_of_the_eye,(H00-H59) Diseases of the eye,diseases_of_the_eye,"(Х00-Х93) Болести ока, уха и аднекса",3,1
diseases_of_the_genitourinary,(N00-N99) Diseases of the genitourinary system,diseases_of_the_genitourinary,(Н00-Н99) Болести генитално-уринарног система,3,1
diseases_of_the_musculoskeletal,(M00-M99) Diseases of the musculoskeletal system and connective tissue,diseases_of_the_musculoskeletal,(М00-М99) Болести мускулоскелетног система и везивног ткива,3,1
diseases_of_the_nervous,(G00-G99) Diseases of the nervous system,diseases_of_the_nervous,(Г00-Г99) Болести нервног система,3,1
diseases_of_the_respiratory,(J00-J99) Diseases of the respiratory system,diseases_of_the_respiratory,(Ј00-Ј99) Болести респираторног система,3,1
diseases_of_the_skin,(L00-L99) Diseases of the skin and subcutaneous tissue,diseases_of_the_skin,(Л00-Л99) Болести коже и поткожног ткива,3,1
endocrine_metabolic_and_nutritional,(E00-E90) Endocrine metabolic and nutritional diseases,endocrine_metabolic_and_nutritional,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",3,1
infectious_and_parasitic,(A00-B99) Infectious and parasitic diseases,infectious_and_parasitic,(А00-Б99) Заразне и паразитарне болести,3,1
injuries_poisoning_and_consequences,"(S00-T98) Injuries, poisoning and consequences of external causes",injuries_poisoning_and_consequences,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",3,1
mental_and_behavioural_disorders,(F00-F99) Mental and behavioural disorders,mental_and_behavioural_disorders,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,3,1
neoplasms,"(C00-C97,D00-D48) Neoplasms",neoplasms,Неоплазме (C00–D48),3,1
pregnancy_childbirth_and_the,"(O00-O99) Pregnancy, childbirth and the puerperium",pregnancy_childbirth_and_the,"(О00-О99) Трудноћа, порођај и постпорођајни период",2,1
special_purpose_codes,(U00-U85) Special purpose codes,special_purpose_codes,Шифре за посебне намјене (U00-U85),3,1
symptoms_signs_and_abnormal,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",symptoms_signs_and_abnormal,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",3,1
total,Total,total,Укупно,3,1
