Year,Value,UNIT_MEASURE
2003,1.33,Broj djece po ženi od 15-49 starosti
2004,1.35,Broj djece po ženi od 15-49 starosti
2005,1.31,Broj djece po ženi od 15-49 starosti
2006,1.34,Broj djece po ženi od 15-49 starosti
2007,1.3,Broj djece po ženi od 15-49 starosti
2008,1.32,Broj djece po ženi od 15-49 starosti
2009,1.39,Broj djece po ženi od 15-49 starosti
2010,1.33,Broj djece po ženi od 15-49 starosti
2011,1.27,Broj djece po ženi od 15-49 starosti
2012,1.35,Broj djece po ženi od 15-49 starosti
2013,1.3,Broj djece po ženi od 15-49 starosti
2014,1.28,Broj djece po ženi od 15-49 starosti
2015,1.3,Broj djece po ženi od 15-49 starosti
2016,1.32,Broj djece po ženi od 15-49 starosti
2017,1.31,Broj djece po ženi od 15-49 starosti
2018,1.36,Broj djece po ženi od 15-49 starosti
2019,1.34,Broj djece po ženi od 15-49 starosti
2020,1.38,Broj djece po ženi od 15-49 starosti
2021,1.41,Broj djece po ženi od 15-49 starosti
