Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,Пол,Value
1971,%,total_support_ratio,Оба пола,65.4
1971,%,total_support_ratio,M,67.9
1971,%,total_support_ratio,Ж,63.0
1981,%,total_support_ratio,Оба пола,52.3
1981,%,total_support_ratio,M,53.0
1981,%,total_support_ratio,Ж,51.6
1991,%,total_support_ratio,Оба пола,48.3
1991,%,total_support_ratio,M,46.8
1991,%,total_support_ratio,Ж,49.7
2013,%,total_support_ratio,Оба пола,42.1
2013,%,total_support_ratio,M,39.2
2013,%,total_support_ratio,Ж,44.9
1971,%,young_age_support_ratio,Оба пола,57.0
1971,%,young_age_support_ratio,M,60.2
1971,%,young_age_support_ratio,Ж,53.9
1981,%,young_age_support_ratio,Оба пола,42.5
1981,%,young_age_support_ratio,M,44.5
1981,%,young_age_support_ratio,Ж,40.6
1991,%,young_age_support_ratio,Оба пола,35.6
1991,%,young_age_support_ratio,M,36.6
1991,%,young_age_support_ratio,Ж,34.6
2013,%,young_age_support_ratio,Оба пола,21.9
2013,%,young_age_support_ratio,M,22.4
2013,%,young_age_support_ratio,Ж,21.3
1971,%,old_age_support_ratio,Оба пола,8.4
1971,%,old_age_support_ratio,M,7.7
1971,%,old_age_support_ratio,Ж,9.1
1981,%,old_age_support_ratio,Оба пола,9.8
1981,%,old_age_support_ratio,M,8.5
1981,%,old_age_support_ratio,Ж,11.0
1991,%,old_age_support_ratio,Оба пола,12.7
1991,%,old_age_support_ratio,M,10.1
1991,%,old_age_support_ratio,Ж,15.2
2013,%,old_age_support_ratio,Оба пола,20.2
2013,%,old_age_support_ratio,M,16.8
2013,%,old_age_support_ratio,Ж,23.6
1971,%,older_persons_to_youth_ratio,Оба пола,14.8
1971,%,older_persons_to_youth_ratio,M,12.8
1971,%,older_persons_to_youth_ratio,Ж,16.9
1981,%,older_persons_to_youth_ratio,Оба пола,23.1
1981,%,older_persons_to_youth_ratio,M,19.2
1981,%,older_persons_to_youth_ratio,Ж,27.2
1991,%,older_persons_to_youth_ratio,Оба пола,35.6
1991,%,older_persons_to_youth_ratio,M,27.7
1991,%,older_persons_to_youth_ratio,Ж,43.8
2013,%,older_persons_to_youth_ratio,Оба пола,92.3
2013,%,older_persons_to_youth_ratio,M,75.0
2013,%,older_persons_to_youth_ratio,Ж,110.6
