Year,UNIT_MEASURE,City/minicipality,Sex,Ethnicity/nationality,Value
2013,Number,Republika Srpska,Total,Total,1170342
2013,Number,Republika Srpska,M,Total,571812
2013,Number,Republika Srpska,F,Total,598530
2013,Number,Grad Banja Luka,Total,Total,180053
2013,Number,Grad Banja Luka,M,Total,86510
2013,Number,Grad Banja Luka,F,Total,93543
2013,Number,Berkovići,Total,Total,2041
2013,Number,Berkovići,M,Total,1032
2013,Number,Berkovići,F,Total,1009
2013,Number,Grad Bijeljina,Total,Total,103874
2013,Number,Grad Bijeljina,M,Total,50760
2013,Number,Grad Bijeljina,F,Total,53114
2013,Number,Bileća,Total,Total,10607
2013,Number,Bileća,M,Total,5346
2013,Number,Bileća,F,Total,5261
2013,Number,Bratunac,Total,Total,18651
2013,Number,Bratunac,M,Total,9210
2013,Number,Bratunac,F,Total,9441
2013,Number,Brod,Total,Total,15720
2013,Number,Brod,M,Total,7670
2013,Number,Brod,F,Total,8050
2013,Number,Višegrad,Total,Total,10118
2013,Number,Višegrad,M,Total,4834
2013,Number,Višegrad,F,Total,5284
2013,Number,Vlasenica,Total,Total,10657
2013,Number,Vlasenica,M,Total,5193
2013,Number,Vlasenica,F,Total,5464
2013,Number,Vukosavlje,Total,Total,4363
2013,Number,Vukosavlje,M,Total,2185
2013,Number,Vukosavlje,F,Total,2178
2013,Number,Gacko,Total,Total,8710
2013,Number,Gacko,M,Total,4423
2013,Number,Gacko,F,Total,4287
2013,Number,Grad Gradiška,Total,Total,49196
2013,Number,Grad Gradiška,M,Total,23944
2013,Number,Grad Gradiška,F,Total,25252
2013,Number,Grad Derventa,Total,Total,25922
2013,Number,Grad Derventa,M,Total,12629
2013,Number,Grad Derventa,F,Total,13293
2013,Number,Grad Doboj,Total,Total,68514
2013,Number,Grad Doboj,M,Total,33222
2013,Number,Grad Doboj,F,Total,35292
2013,Number,Donji Žabar,Total,Total,3669
2013,Number,Donji Žabar,M,Total,1853
2013,Number,Donji Žabar,F,Total,1816
2013,Number,Grad Zvornik,Total,Total,54407
2013,Number,Grad Zvornik,M,Total,26803
2013,Number,Grad Zvornik,F,Total,27604
2013,Number,Istočna Ilidža,Total,Total,14437
2013,Number,Istočna Ilidža,M,Total,6905
2013,Number,Istočna Ilidža,F,Total,7532
2013,Number,Istočni Drvar,Total,Total,66
2013,Number,Istočni Drvar,M,Total,44
2013,Number,Istočni Drvar,F,Total,22
2013,Number,Istočni Mostar,Total,Total,244
2013,Number,Istočni Mostar,M,Total,138
2013,Number,Istočni Mostar,F,Total,106
2013,Number,Istočni Stari Grad,Total,Total,1116
2013,Number,Istočni Stari Grad,M,Total,552
2013,Number,Istočni Stari Grad,F,Total,564
2013,Number,Istočno Novo Sarajevo,Total,Total,10401
2013,Number,Istočno Novo Sarajevo,M,Total,4936
2013,Number,Istočno Novo Sarajevo,F,Total,5465
2013,Number,Jezero,Total,Total,1039
2013,Number,Jezero,M,Total,534
2013,Number,Jezero,F,Total,505
2013,Number,Kalinovik,Total,Total,1962
2013,Number,Kalinovik,M,Total,950
2013,Number,Kalinovik,F,Total,1012
2013,Number,Kneževo,Total,Total,9368
2013,Number,Kneževo,M,Total,4632
2013,Number,Kneževo,F,Total,4736
2013,Number,Kozarska Dubica,Total,Total,20681
2013,Number,Kozarska Dubica,M,Total,10094
2013,Number,Kozarska Dubica,F,Total,10587
2013,Number,Kostajnica,Total,Total,5645
2013,Number,Kostajnica,M,Total,2780
2013,Number,Kostajnica,F,Total,2865
2013,Number,Kotor Varoš,Total,Total,18361
2013,Number,Kotor Varoš,M,Total,9007
2013,Number,Kotor Varoš,F,Total,9354
2013,Number,Krupa Na Uni,Total,Total,1560
2013,Number,Krupa Na Uni,M,Total,841
2013,Number,Krupa Na Uni,F,Total,719
2013,Number,Kupres,Total,Total,293
2013,Number,Kupres,M,Total,157
2013,Number,Kupres,F,Total,136
2013,Number,Laktaši,Total,Total,34210
2013,Number,Laktaši,M,Total,16905
2013,Number,Laktaši,F,Total,17305
2013,Number,Lopare,Total,Total,14689
2013,Number,Lopare,M,Total,7377
2013,Number,Lopare,F,Total,7312
2013,Number,Ljubinje,Total,Total,3319
2013,Number,Ljubinje,M,Total,1633
2013,Number,Ljubinje,F,Total,1686
2013,Number,Milići,Total,Total,10445
2013,Number,Milići,M,Total,5252
2013,Number,Milići,F,Total,5193
2013,Number,Modriča,Total,Total,24490
2013,Number,Modriča,M,Total,11969
2013,Number,Modriča,F,Total,12521
2013,Number,Mrkonjić Grad,Total,Total,15926
2013,Number,Mrkonjić Grad,M,Total,7660
2013,Number,Mrkonjić Grad,F,Total,8266
2013,Number,Nevesinje,Total,Total,12542
2013,Number,Nevesinje,M,Total,6236
2013,Number,Nevesinje,F,Total,6306
2013,Number,Novi Grad,Total,Total,25240
2013,Number,Novi Grad,M,Total,12580
2013,Number,Novi Grad,F,Total,12660
2013,Number,Novo Goražde,Total,Total,2915
2013,Number,Novo Goražde,M,Total,1500
2013,Number,Novo Goražde,F,Total,1415
2013,Number,Osmaci,Total,Total,5546
2013,Number,Osmaci,M,Total,2779
2013,Number,Osmaci,F,Total,2767
2013,Number,Oštra Luka,Total,Total,2705
2013,Number,Oštra Luka,M,Total,1386
2013,Number,Oštra Luka,F,Total,1319
2013,Number,Pale,Total,Total,20359
2013,Number,Pale,M,Total,9744
2013,Number,Pale,F,Total,10615
2013,Number,Pelagićevo,Total,Total,4358
2013,Number,Pelagićevo,M,Total,2151
2013,Number,Pelagićevo,F,Total,2207
2013,Number,Petrovac,Total,Total,354
2013,Number,Petrovac,M,Total,169
2013,Number,Petrovac,F,Total,185
2013,Number,Petrovo,Total,Total,6317
2013,Number,Petrovo,M,Total,3043
2013,Number,Petrovo,F,Total,3274
2013,Number,Grad Prijedor,Total,Total,80916
2013,Number,Grad Prijedor,M,Total,39418
2013,Number,Grad Prijedor,F,Total,41498
2013,Number,Prnjavor,Total,Total,34357
2013,Number,Prnjavor,M,Total,16675
2013,Number,Prnjavor,F,Total,17682
2013,Number,Ribnik,Total,Total,5851
