Year,UNIT_MEASURE,Vrsta obrazovanja,Spol,Value
2016,Broj,enrolled_in_master_of_science_studies,Oba spola,59
2017,Broj,enrolled_in_master_of_science_studies,Oba spola,31
2018,Broj,enrolled_in_master_of_science_studies,Oba spola,14
2019,Broj,enrolled_in_master_of_science_studies,Oba spola,16
2020,Broj,enrolled_in_master_of_science_studies,Oba spola,4
2016,Broj,enrolled_in_master_of_science_studies,M,37
2017,Broj,enrolled_in_master_of_science_studies,M,21
2018,Broj,enrolled_in_master_of_science_studies,M,6
2019,Broj,enrolled_in_master_of_science_studies,M,12
2020,Broj,enrolled_in_master_of_science_studies,M,3
2016,Broj,enrolled_in_master_of_science_studies,Ž,22
2017,Broj,enrolled_in_master_of_science_studies,Ž,10
2018,Broj,enrolled_in_master_of_science_studies,Ž,8
2019,Broj,enrolled_in_master_of_science_studies,Ž,4
2020,Broj,enrolled_in_master_of_science_studies,Ž,1
2016,Broj,Upisani na master studije,Oba spola,2456
2017,Broj,Upisani na master studije,Oba spola,2140
2018,Broj,Upisani na master studije,Oba spola,2144
2019,Broj,Upisani na master studije,Oba spola,2109
2020,Broj,Upisani na master studije,Oba spola,2430
2016,Broj,Upisani na master studije,M,1048
2017,Broj,Upisani na master studije,M,917
2018,Broj,Upisani na master studije,M,937
2019,Broj,Upisani na master studije,M,930
2020,Broj,Upisani na master studije,M,1036
2016,Broj,Upisani na master studije,Ž,1408
2017,Broj,Upisani na master studije,Ž,1223
2018,Broj,Upisani na master studije,Ž,1207
2019,Broj,Upisani na master studije,Ž,1179
2020,Broj,Upisani na master studije,Ž,1394
2016,Broj,Upisani na specijalističke studije,Oba spola,71
2017,Broj,Upisani na specijalističke studije,Oba spola,73
2018,Broj,Upisani na specijalističke studije,Oba spola,160
2019,Broj,Upisani na specijalističke studije,Oba spola,170
2020,Broj,Upisani na specijalističke studije,Oba spola,170
2016,Broj,Upisani na specijalističke studije,M,28
2017,Broj,Upisani na specijalističke studije,M,34
2018,Broj,Upisani na specijalističke studije,M,66
2019,Broj,Upisani na specijalističke studije,M,72
2020,Broj,Upisani na specijalističke studije,M,39
2016,Broj,Upisani na specijalističke studije,Ž,43
2017,Broj,Upisani na specijalističke studije,Ž,39
2018,Broj,Upisani na specijalističke studije,Ž,94
2019,Broj,Upisani na specijalističke studije,Ž,98
2020,Broj,Upisani na specijalističke studije,Ž,131
