Year,UNIT_MEASURE,type_of_education,Spol,Value
2017,Broj,total,Oba spola,54
2017,Broj,"natural_sciences,_mathematics_and_statistics",Oba spola,4
2017,Broj,"engineering,_production_and_construction",Oba spola,6
2017,Broj,information_and_communication_technologie,Oba spola,4
2017,Broj,health_and_social_protection,Oba spola,1
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Oba spola,2
2017,Broj,"social_sciences,_journalism_and_information",Oba spola,14
2017,Broj,"business,_administration_and_law",Oba spola,16
2017,Broj,education,Oba spola,0
2017,Broj,arts_and_humanities,Oba spola,7
2017,Broj,services,Oba spola,0
2017,Broj,total,M,37
2017,Broj,"natural_sciences,_mathematics_and_statistics",M,2
2017,Broj,"engineering,_production_and_construction",M,3
2017,Broj,information_and_communication_technologie,M,3
2017,Broj,health_and_social_protection,M,1
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,2
2017,Broj,"social_sciences,_journalism_and_information",M,10
2017,Broj,"business,_administration_and_law",M,13
2017,Broj,education,M,0
2017,Broj,arts_and_humanities,M,3
2017,Broj,services,M,0
2017,Broj,total,Ž,17
2017,Broj,"natural_sciences,_mathematics_and_statistics",Ž,2
2017,Broj,"engineering,_production_and_construction",Ž,3
2017,Broj,information_and_communication_technologie,Ž,1
2017,Broj,health_and_social_protection,Ž,0
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ž,0
2017,Broj,"social_sciences,_journalism_and_information",Ž,4
2017,Broj,"business,_administration_and_law",Ž,3
2017,Broj,education,Ž,0
2017,Broj,arts_and_humanities,Ž,4
2017,Broj,services,Ž,0
2018,Broj,total,Oba spola,43
2018,Broj,"natural_sciences,_mathematics_and_statistics",Oba spola,1
2018,Broj,"engineering,_production_and_construction",Oba spola,3
2018,Broj,information_and_communication_technologie,Oba spola,3
2018,Broj,health_and_social_protection,Oba spola,0
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Oba spola,4
2018,Broj,"social_sciences,_journalism_and_information",Oba spola,14
2018,Broj,"business,_administration_and_law",Oba spola,12
2018,Broj,education,Oba spola,1
2018,Broj,arts_and_humanities,Oba spola,5
2018,Broj,services,Oba spola,0
2018,Broj,total,M,28
2018,Broj,"natural_sciences,_mathematics_and_statistics",M,1
2018,Broj,"engineering,_production_and_construction",M,1
2018,Broj,information_and_communication_technologie,M,3
2018,Broj,health_and_social_protection,M,0
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
2018,Broj,"social_sciences,_journalism_and_information",M,9
2018,Broj,"business,_administration_and_law",M,10
2018,Broj,education,M,1
2018,Broj,arts_and_humanities,M,2
2018,Broj,services,M,0
2018,Broj,total,Ž,15
2018,Broj,"natural_sciences,_mathematics_and_statistics",Ž,0
2018,Broj,"engineering,_production_and_construction",Ž,2
2018,Broj,information_and_communication_technologie,Ž,0
2018,Broj,health_and_social_protection,Ž,0
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ž,3
2018,Broj,"social_sciences,_journalism_and_information",Ž,5
2018,Broj,"business,_administration_and_law",Ž,2
2018,Broj,education,Ž,0
