Year,UNIT_MEASURE,Pol,Starosna dob,Value
2020,% od ukupno,Oba pola,15+,12.9
2020,% od ukupno,Oba pola,15 - 24,28.1
2020,% od ukupno,Oba pola,25 - 49,13.7
2020,% od ukupno,Oba pola,50 - 64,8.7
2020,% od ukupno,Oba pola,15 - 64,13.4
2020,% od ukupno,M,15+,12.7
2020,% od ukupno,M,15 - 24,26.2
2020,% od ukupno,M,25 - 49,13.6
2020,% od ukupno,M,50 - 64,8.7
2020,% od ukupno,M,15 - 64,13.2
2020,% od ukupno,Ž,15+,13.0
2020,% od ukupno,Ž,15 - 24,30.7
2020,% od ukupno,Ž,25 - 49,13.8
2020,% od ukupno,Ž,50 - 64,8.6
2020,% od ukupno,Ž,15 - 64,13.7
