Year,Value,UNIT_MEASURE
2003,0.62,Број на 1000 бракова
2004,0.54,Број на 1000 бракова
2005,0.61,Број на 1000 бракова
2006,0.44,Број на 1000 бракова
2007,0.5,Број на 1000 бракова
2008,0.27,Број на 1000 бракова
2009,0.39,Број на 1000 бракова
2010,0.44,Број на 1000 бракова
2011,0.75,Број на 1000 бракова
2012,0.75,Број на 1000 бракова
2013,0.9,Број на 1000 бракова
2014,0.95,Број на 1000 бракова
2015,0.98,Број на 1000 бракова
2016,0.89,Број на 1000 бракова
2017,0.85,Број на 1000 бракова
2018,0.8,Број на 1000 бракова
2019,0.8,Број на 1000 бракова
2020,0.8,Број на 1000 бракова
