Year,UNIT_MEASURE,scientific_field,Sex,Value
2017,Number,TOTAL,Both sexes,130
2017,Number,"natural_sciences,_mathematics_and_statistic",Both sexes,10
2017,Number,"engineering,_production_and_construction",Both sexes,4
2017,Number,information_and_communication_technologies,Both sexes,12
2017,Number,health_and_social_protection,Both sexes,25
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Both sexes,9
2017,Number,"social_sciences,_journalism_and_information",Both sexes,50
2017,Number,"business,_administration_and_law",Both sexes,10
2017,Number,eduaction,Both sexes,0
2017,Number,humanities_and_arts,Both sexes,10
2017,Number,services,Both sexes,0
2017,Number,TOTAL,M,70
2017,Number,"natural_sciences,_mathematics_and_statistic",M,6
2017,Number,"engineering,_production_and_construction",M,3
2017,Number,information_and_communication_technologies,M,9
2017,Number,health_and_social_protection,M,6
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,4
2017,Number,"social_sciences,_journalism_and_information",M,29
2017,Number,"business,_administration_and_law",M,4
2017,Number,eduaction,M,0
2017,Number,humanities_and_arts,M,9
2017,Number,services,M,0
2017,Number,TOTAL,F,60
2017,Number,"natural_sciences,_mathematics_and_statistic",F,4
2017,Number,"engineering,_production_and_construction",F,1
2017,Number,information_and_communication_technologies,F,3
2017,Number,health_and_social_protection,F,19
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,5
2017,Number,"social_sciences,_journalism_and_information",F,21
2017,Number,"business,_administration_and_law",F,6
2017,Number,eduaction,F,0
2017,Number,humanities_and_arts,F,1
2017,Number,services,F,0
2018,Number,TOTAL,Both sexes,119
2018,Number,"natural_sciences,_mathematics_and_statistic",Both sexes,8
2018,Number,"engineering,_production_and_construction",Both sexes,3
2018,Number,information_and_communication_technologies,Both sexes,11
2018,Number,health_and_social_protection,Both sexes,37
2018,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Both sexes,9
2018,Number,"social_sciences,_journalism_and_information",Both sexes,16
2018,Number,"business,_administration_and_law",Both sexes,10
2018,Number,eduaction,Both sexes,3
