Year,UNIT_MEASURE,SEX,AGE,Value
2013,NUMBER,_T,_T,1170342.0
2013,NUMBER,M,_T,571812.0
2013,NUMBER,F,_T,598530.0
2013,NUMBER,_T,0-4,53405.0
2013,NUMBER,M,0-4,27393.0
2013,NUMBER,F,0-4,26012.0
2013,NUMBER,_T,5-9,54076.0
2013,NUMBER,M,5-9,27716.0
2013,NUMBER,F,5-9,26360.0
2013,NUMBER,_T,10-14,57326.0
2013,NUMBER,M,10-14,29411.0
2013,NUMBER,F,10-14,27915.0
2013,NUMBER,_T,15-19,70815.0
2013,NUMBER,M,15-19,36577.0
2013,NUMBER,F,15-19,34238.0
2013,NUMBER,_T,20-24,65363.0
2013,NUMBER,M,20-24,33893.0
2013,NUMBER,F,20-24,31470.0
2013,NUMBER,_T,25-29,76753.0
2013,NUMBER,M,25-29,39159.0
2013,NUMBER,F,25-29,37594.0
2013,NUMBER,_T,30-34,80472.0
2013,NUMBER,M,30-34,40809.0
2013,NUMBER,F,30-34,39663.0
2013,NUMBER,_T,35-39,80588.0
2013,NUMBER,M,35-39,41264.0
2013,NUMBER,F,35-39,39324.0
2013,NUMBER,_T,40-44,75683.0
2013,NUMBER,M,40-44,38704.0
2013,NUMBER,F,40-44,36979.0
2013,NUMBER,_T,45-49,82810.0
2013,NUMBER,M,45-49,41422.0
2013,NUMBER,F,45-49,41388.0
2013,NUMBER,_T,50-54,92000.0
2013,NUMBER,M,50-54,45159.0
2013,NUMBER,F,50-54,46841.0
2013,NUMBER,_T,55-59,93458.0
2013,NUMBER,M,55-59,45289.0
2013,NUMBER,F,55-59,48169.0
2013,NUMBER,_T,60-64,87204.0
2013,NUMBER,M,60-64,41420.0
2013,NUMBER,F,60-64,45784.0
2013,NUMBER,_T,65-69,60073.0
2013,NUMBER,M,65-69,27337.0
2013,NUMBER,F,65-69,32736.0
2013,NUMBER,_T,70-74,55148.0
2013,NUMBER,M,70-74,23525.0
2013,NUMBER,F,70-74,31623.0
2013,NUMBER,_T,75-79,48037.0
2013,NUMBER,M,75-79,19261.0
2013,NUMBER,F,75-79,28776.0
2013,NUMBER,_T,80-84,25566.0
2013,NUMBER,M,80-84,9608.0
2013,NUMBER,F,80-84,15958.0
2013,NUMBER,_T,85+,11565.0
2013,NUMBER,M,85+,3865.0
2013,NUMBER,F,85+,7700.0
2013,NUMBER,_T,average_age,41.72
2013,NUMBER,M,average_age,40.32
2013,NUMBER,F,average_age,43.05
