Year,UNIT_MEASURE,ADMIN_AREA,Pol,Religion,Value
2013,Broj,republika_srpska,Ukupno,_T,1170342
2013,Broj,republika_srpska,M,_T,571812
2013,Broj,republika_srpska,Ž,_T,598530
2013,Broj,grad_banja_luka,Ukupno,_T,180053
2013,Broj,grad_banja_luka,M,_T,86510
2013,Broj,grad_banja_luka,Ž,_T,93543
2013,Broj,berkovici,Ukupno,_T,2041
2013,Broj,berkovici,M,_T,1032
2013,Broj,berkovici,Ž,_T,1009
2013,Broj,grad_bijeljina,Ukupno,_T,103874
2013,Broj,grad_bijeljina,M,_T,50760
2013,Broj,grad_bijeljina,Ž,_T,53114
2013,Broj,bileca,Ukupno,_T,10607
2013,Broj,bileca,M,_T,5346
2013,Broj,bileca,Ž,_T,5261
2013,Broj,bratunac,Ukupno,_T,18651
2013,Broj,bratunac,M,_T,9210
2013,Broj,bratunac,Ž,_T,9441
2013,Broj,brod,Ukupno,_T,15720
2013,Broj,brod,M,_T,7670
2013,Broj,brod,Ž,_T,8050
2013,Broj,visegrad,Ukupno,_T,10118
2013,Broj,visegrad,M,_T,4834
2013,Broj,visegrad,Ž,_T,5284
2013,Broj,vlasenica,Ukupno,_T,10657
2013,Broj,vlasenica,M,_T,5193
2013,Broj,vlasenica,Ž,_T,5464
2013,Broj,vukosavlje,Ukupno,_T,4363
2013,Broj,vukosavlje,M,_T,2185
2013,Broj,vukosavlje,Ž,_T,2178
2013,Broj,gacko,Ukupno,_T,8710
2013,Broj,gacko,M,_T,4423
2013,Broj,gacko,Ž,_T,4287
2013,Broj,grad_gradiska,Ukupno,_T,49196
2013,Broj,grad_gradiska,M,_T,23944
2013,Broj,grad_gradiska,Ž,_T,25252
2013,Broj,grad_derventa,Ukupno,_T,25922
2013,Broj,grad_derventa,M,_T,12629
2013,Broj,grad_derventa,Ž,_T,13293
2013,Broj,grad_doboj,Ukupno,_T,68514
2013,Broj,grad_doboj,M,_T,33222
2013,Broj,grad_doboj,Ž,_T,35292
2013,Broj,donji_zabar,Ukupno,_T,3669
2013,Broj,donji_zabar,M,_T,1853
2013,Broj,donji_zabar,Ž,_T,1816
2013,Broj,grad_zvornik,Ukupno,_T,54407
2013,Broj,grad_zvornik,M,_T,26803
2013,Broj,grad_zvornik,Ž,_T,27604
2013,Broj,istocna_ilidza,Ukupno,_T,14437
2013,Broj,istocna_ilidza,M,_T,6905
2013,Broj,istocna_ilidza,Ž,_T,7532
2013,Broj,istocni_drvar,Ukupno,_T,66
2013,Broj,istocni_drvar,M,_T,44
2013,Broj,istocni_drvar,Ž,_T,22
2013,Broj,istocni_mostar,Ukupno,_T,244
2013,Broj,istocni_mostar,M,_T,138
2013,Broj,istocni_mostar,Ž,_T,106
2013,Broj,istocni_stari_grad,Ukupno,_T,1116
2013,Broj,istocni_stari_grad,M,_T,552
2013,Broj,istocni_stari_grad,Ž,_T,564
2013,Broj,istocno_novo_sarajevo,Ukupno,_T,10401
2013,Broj,istocno_novo_sarajevo,M,_T,4936
