Year,UNIT_MEASURE,Scientific field,Value
2017,Number,Education,542
2017,Number,arts_and_humanities,429
2017,Number,"Social sciences, journalism and information",725
2017,Number,"Business, administration and law",1677
2017,Number,"natural_sciences,_mathematics_and_statistics",209
2017,Number,information_and_communication_technologies,262
2017,Number,"engineering,_production_and_construction",367
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",205
2017,Number,Health and social protection,547
2017,Number,Services,118
2018,Number,Education,459
2018,Number,arts_and_humanities,403
2018,Number,"Social sciences, journalism and information",524
2018,Number,"Business, administration and law",1320
2018,Number,"natural_sciences,_mathematics_and_statistics",165
2018,Number,information_and_communication_technologies,294
2018,Number,"engineering,_production_and_construction",464
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",205
2018,Number,Health and social protection,629
2018,Number,Services,101
2019,Number,Education,406
2019,Number,arts_and_humanities,385
2019,Number,"Social sciences, journalism and information",482
2019,Number,"Business, administration and law",1110
2019,Number,"natural_sciences,_mathematics_and_statistics",168
2019,Number,information_and_communication_technologies,231
2019,Number,"engineering,_production_and_construction",461
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",238
2019,Number,Health and social protection,534
2019,Number,Services,129
2020,Number,Education,336
2020,Number,arts_and_humanities,433
2020,Number,"Social sciences, journalism and information",588
2020,Number,"Business, administration and law",991
2020,Number,"natural_sciences,_mathematics_and_statistics",166
2020,Number,information_and_communication_technologies,254
2020,Number,"engineering,_production_and_construction",438
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",229
2020,Number,Health and social protection,590
2020,Number,Services,159
