Year,UNIT_MEASURE,Administrativna oblast,Pol,Vrsta poteškoće,Value
2013,Broj,Republika Srpska,Oba pola,Ukupno,102262
2013,Broj,Republika Srpska,M,Ukupno,46720
2013,Broj,Republika Srpska,Ž,Ukupno,55542
2013,Broj,Grad Banja Luka,Oba pola,Ukupno,13450
2013,Broj,Grad Banja Luka,M,Ukupno,6251
2013,Broj,Grad Banja Luka,Ž,Ukupno,7199
2013,Broj,Berkovići,Oba pola,Ukupno,165
2013,Broj,Berkovići,M,Ukupno,75
2013,Broj,Berkovići,Ž,Ukupno,90
2013,Broj,Grad Bijeljina,Oba pola,Ukupno,8763
2013,Broj,Grad Bijeljina,M,Ukupno,3967
2013,Broj,Grad Bijeljina,Ž,Ukupno,4796
2013,Broj,Bileća,Oba pola,Ukupno,813
2013,Broj,Bileća,M,Ukupno,339
2013,Broj,Bileća,Ž,Ukupno,474
2013,Broj,Bratunac,Oba pola,Ukupno,1534
2013,Broj,Bratunac,M,Ukupno,688
2013,Broj,Bratunac,Ž,Ukupno,846
2013,Broj,Brod,Oba pola,Ukupno,1420
2013,Broj,Brod,M,Ukupno,658
2013,Broj,Brod,Ž,Ukupno,762
2013,Broj,Višegrad,Oba pola,Ukupno,1097
2013,Broj,Višegrad,M,Ukupno,422
2013,Broj,Višegrad,Ž,Ukupno,675
2013,Broj,Vlasenica,Oba pola,Ukupno,786
2013,Broj,Vlasenica,M,Ukupno,393
2013,Broj,Vlasenica,Ž,Ukupno,393
2013,Broj,Vukosavlje,Oba pola,Ukupno,472
2013,Broj,Vukosavlje,M,Ukupno,226
2013,Broj,Vukosavlje,Ž,Ukupno,246
2013,Broj,Gacko,Oba pola,Ukupno,597
2013,Broj,Gacko,M,Ukupno,261
2013,Broj,Gacko,Ž,Ukupno,336
2013,Broj,Grad Gradiška,Oba pola,Ukupno,4427
2013,Broj,Grad Gradiška,M,Ukupno,1965
2013,Broj,Grad Gradiška,Ž,Ukupno,2462
