Year,UNIT_MEASURE,SEX,AGE,Value
2020,_%,_T,15+,52.2
2020,_%,_T,15 - 24,33.6
2020,_%,_T,25 - 49,81.0
2020,_%,_T,50 - 64,57.3
2020,_%,_T,15 - 64,65.2
2020,_%,M,15+,60.4
2020,_%,M,15 - 24,38.8
2020,_%,M,25 - 49,86.8
2020,_%,M,50 - 64,69.3
2020,_%,M,15 - 64,73.0
2020,_%,F,15+,44.6
2020,_%,F,15 - 24,28.1
2020,_%,F,25 - 49,75.0
2020,_%,F,50 - 64,46.1
2020,_%,F,15 - 64,57.3
2021,_%,_T,15+,50.8
2021,_%,_T,15 - 24,33.0
2021,_%,_T,25 - 49,79.7
2021,_%,_T,50 - 64,56.4
2021,_%,_T,15 - 64,64.4
2021,_%,M,15+,59.5
2021,_%,M,15 - 24,38.2
2021,_%,M,25 - 49,86.8
2021,_%,M,50 - 64,68.2
2021,_%,M,15 - 64,72.8
2021,_%,F,15+,42.4
2021,_%,F,15 - 24,27.2
2021,_%,F,25 - 49,72.1
2021,_%,F,50 - 64,45.1
2021,_%,F,15 - 64,55.7
