Year,AGE,UNIT_MEASURE,Value
1998,13 - 14,NUMBER,0
1998,15 - 19,NUMBER,796
1999,13 - 14,NUMBER,1
1999,15 - 19,NUMBER,907
2000,13 - 14,NUMBER,1
2000,15 - 19,NUMBER,722
2001,13 - 14,NUMBER,2
2001,15 - 19,NUMBER,938
2002,13 - 14,NUMBER,4
2002,15 - 19,NUMBER,787
2003,13 - 14,NUMBER,0
2003,15 - 19,NUMBER,688
2004,13 - 14,NUMBER,4
2004,15 - 19,NUMBER,697
2005,13 - 14,NUMBER,3
2005,15 - 19,NUMBER,659
2006,13 - 14,NUMBER,3
2006,15 - 19,NUMBER,586
2007,13 - 14,NUMBER,3
2007,15 - 19,NUMBER,557
2008,13 - 14,NUMBER,4
2008,15 - 19,NUMBER,536
2009,13 - 14,NUMBER,3
2009,15 - 19,NUMBER,499
2010,13 - 14,NUMBER,0
2010,15 - 19,NUMBER,436
2011,13 - 14,NUMBER,0
2011,15 - 19,NUMBER,407
2012,13 - 14,NUMBER,1
2012,15 - 19,NUMBER,452
2013,13 - 14,NUMBER,0
2013,15 - 19,NUMBER,376
2014,13 - 14,NUMBER,0
2014,15 - 19,NUMBER,362
2015,13 - 14,NUMBER,1
2015,15 - 19,NUMBER,311
2016,13 - 14,NUMBER,1
2016,15 - 19,NUMBER,337
2017,13 - 14,NUMBER,0
2017,15 - 19,NUMBER,280
2018,13 - 14,NUMBER,1
2018,15 - 19,NUMBER,219
2019,13 - 14,NUMBER,1
2019,15 - 19,NUMBER,223
