Year,UNIT_MEASURE,Type of institution,Value
2016,Number,Social welfare institutions for children and youth,530
2017,Number,Social welfare institutions for children and youth,509
2018,Number,Social welfare institutions for children and youth,509
2019,Number,Social welfare institutions for children and youth,485
2020,Number,Social welfare institutions for children and youth,478
2016,Number,Social welfare institutions for adults,2020
2017,Number,Social welfare institutions for adults,2228
2018,Number,Social welfare institutions for adults,2661
2019,Number,Social welfare institutions for adults,3116
2020,Number,Social welfare institutions for adults,3087
