Year,UNIT_MEASURE,type_of_school,Value
2017,Број,Гимназија,2467
2017,Број,technical_high_schools,6206
2017,Број,vocational_high_schools,1846
2017,Број,Умјетничке школе,78
2017,Број,religious_schools,17
2017,Број,high_schools_for_students_with_disabilities,28
2018,Број,Гимназија,2286
2018,Број,technical_high_schools,6125
2018,Број,vocational_high_schools,1887
2018,Број,Умјетничке школе,70
2018,Број,religious_schools,26
2018,Број,high_schools_for_students_with_disabilities,46
2019,Број,Гимназија,2281
2019,Број,technical_high_schools,6141
2019,Број,vocational_high_schools,1910
2019,Број,Умјетничке школе,64
2019,Број,religious_schools,13
2019,Број,high_schools_for_students_with_disabilities,62
2020,Број,Гимназија,2120
2020,Број,technical_high_schools,5841
2020,Број,vocational_high_schools,1828
2020,Број,Умјетничке школе,60
2020,Број,religious_schools,11
2020,Број,high_schools_for_students_with_disabilities,28
