Year,UNIT_MEASURE,Пол,Витална статистика,Value
2019,Број,M,Живорођени,4839
2020,Број,M,Живорођени,4783
2025,Број,M,Живорођени,4500
2030,Број,M,Живорођени,4246
2035,Број,M,Живорођени,3997
2040,Број,M,Живорођени,3783
2045,Број,M,Живорођени,3584
2050,Број,M,Живорођени,3414
2055,Број,M,Живорођени,3266
2060,Број,M,Живорођени,3120
2065,Број,M,Живорођени,2973
2070,Број,M,Живорођени,2834
2019,Број,M,Умрли,7387
2020,Број,M,Умрли,7383
2025,Број,M,Умрли,7370
2030,Број,M,Умрли,7389
2035,Број,M,Умрли,7439
2040,Број,M,Умрли,7460
2045,Број,M,Умрли,7359
2050,Број,M,Умрли,7154
2055,Број,M,Умрли,6949
2060,Број,M,Умрли,6763
2065,Број,M,Умрли,6573
2070,Број,M,Умрли,6376
2019,Број,Ж,Живорођени,4557
2020,Број,Ж,Живорођени,4505
2025,Број,Ж,Живорођени,4238
2030,Број,Ж,Живорођени,3999
2035,Број,Ж,Живорођени,3764
2040,Број,Ж,Живорођени,3562
2045,Број,Ж,Живорођени,3375
2050,Број,Ж,Живорођени,3215
2055,Број,Ж,Живорођени,3076
2060,Број,Ж,Живорођени,2938
2065,Број,Ж,Живорођени,2799
2070,Број,Ж,Живорођени,2669
2019,Број,Ж,Умрли,7218
2020,Број,Ж,Умрли,7231
2025,Број,Ж,Умрли,7312
2030,Број,Ж,Умрли,7459
2035,Број,Ж,Умрли,7668
2040,Број,Ж,Умрли,7858
2045,Број,Ж,Умрли,7872
2050,Број,Ж,Умрли,7641
2055,Број,Ж,Умрли,7336
2060,Број,Ж,Умрли,7021
2065,Број,Ж,Умрли,6810
2070,Број,Ж,Умрли,6627
