Year,UNIT_MEASURE,Научна област,Value
2017,Број,образовање,542
2017,Број,Умјетност и хуманистичке науке,429
2017,Број,"Друштвене науке, новинарство и информисање",725
2017,Број,"Пословање, администрација и право",1677
2017,Број,"Природне науке, математика и статистика",209
2017,Број,Информационе и комуникационе технологије,262
2017,Број,"Инжeњерство, производња и грађевинарство",367
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",205
2017,Број,Здравство и социјална заштита,547
2017,Број,услуге,118
2018,Број,образовање,459
2018,Број,Умјетност и хуманистичке науке,403
2018,Број,"Друштвене науке, новинарство и информисање",524
2018,Број,"Пословање, администрација и право",1320
2018,Број,"Природне науке, математика и статистика",165
2018,Број,Информационе и комуникационе технологије,294
2018,Број,"Инжeњерство, производња и грађевинарство",464
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",205
2018,Број,Здравство и социјална заштита,629
2018,Број,услуге,101
2019,Број,образовање,406
2019,Број,Умјетност и хуманистичке науке,385
2019,Број,"Друштвене науке, новинарство и информисање",482
2019,Број,"Пословање, администрација и право",1110
2019,Број,"Природне науке, математика и статистика",168
2019,Број,Информационе и комуникационе технологије,231
2019,Број,"Инжeњерство, производња и грађевинарство",461
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",238
2019,Број,Здравство и социјална заштита,534
2019,Број,услуге,129
2020,Број,образовање,336
2020,Број,Умјетност и хуманистичке науке,433
2020,Број,"Друштвене науке, новинарство и информисање",588
2020,Број,"Пословање, администрација и право",991
2020,Број,"Природне науке, математика и статистика",166
2020,Број,Информационе и комуникационе технологије,254
2020,Број,"Инжeњерство, производња и грађевинарство",438
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",229
2020,Број,Здравство и социјална заштита,590
2020,Број,услуге,159
