Year,UNIT_MEASURE,Pol,Value
2010,% od ukupno,M,
2010,% od ukupno,Ž,
2011,% od ukupno,M,
2011,% od ukupno,Ž,
2012,% od ukupno,M,
2012,% od ukupno,Ž,
2013,% od ukupno,M,
2013,% od ukupno,Ž,
2014,% od ukupno,M,
2014,% od ukupno,Ž,
2015,% od ukupno,M,
2015,% od ukupno,Ž,
2016,% od ukupno,M,
2016,% od ukupno,Ž,
2017,% od ukupno,M,
2017,% od ukupno,Ž,
2018,% od ukupno,M,
2018,% od ukupno,Ž,
2019,% od ukupno,M,
2019,% od ukupno,Ž,
2020,% od ukupno,M,
2020,% od ukupno,Ž,
2021,% od ukupno,M,
2021,% od ukupno,Ž,
2022,% od ukupno,M,16.6
2022,% od ukupno,Ž,15.9
