Year,UNIT_MEASURE,scientific_field,Sex,Value
2017,Number,Total,Both sexes,534
2017,Number,"social_sciences,_journalism_and_information",Both sexes,100
2017,Number,arts_and_humanities,Both sexes,100
2017,Number,information_and_communication_technologies,Both sexes,17
2017,Number,"engineering,_production_and_construction",Both sexes,32
2017,Number,education,Both sexes,51
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Both sexes,20
2017,Number,"business,_administration_and_law",Both sexes,80
2017,Number,"natural_sciences,_mathematics_and_statistics",Both sexes,15
2017,Number,services,Both sexes,1
2017,Number,health_and_social_protection,Both sexes,118
2017,Number,Total,M,252
2017,Number,"social_sciences,_journalism_and_information",M,45
2017,Number,arts_and_humanities,M,49
2017,Number,information_and_communication_technologies,M,14
2017,Number,"engineering,_production_and_construction",M,17
2017,Number,education,M,14
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,10
2017,Number,"business,_administration_and_law",M,48
2017,Number,"natural_sciences,_mathematics_and_statistics",M,6
2017,Number,services,M,1
2017,Number,health_and_social_protection,M,48
2017,Number,Total,F,282
2017,Number,"social_sciences,_journalism_and_information",F,55
2017,Number,arts_and_humanities,F,51
2017,Number,information_and_communication_technologies,F,3
2017,Number,"engineering,_production_and_construction",F,15
2017,Number,education,F,37
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,10
2017,Number,"business,_administration_and_law",F,32
2017,Number,"natural_sciences,_mathematics_and_statistics",F,9
2017,Number,services,F,0
2017,Number,health_and_social_protection,F,70
2018,Number,Total,Both sexes,530
2018,Number,"social_sciences,_journalism_and_information",Both sexes,101
2018,Number,arts_and_humanities,Both sexes,76
2018,Number,information_and_communication_technologies,Both sexes,22
2018,Number,"engineering,_production_and_construction",Both sexes,33
2018,Number,education,Both sexes,55
2018,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Both sexes,27
2018,Number,"business,_administration_and_law",Both sexes,67
2018,Number,"natural_sciences,_mathematics_and_statistics",Both sexes,23
2018,Number,services,Both sexes,3
2018,Number,health_and_social_protection,Both sexes,123
2018,Number,Total,M,322
2018,Number,"social_sciences,_journalism_and_information",M,64
2018,Number,arts_and_humanities,M,46
2018,Number,information_and_communication_technologies,M,5
2018,Number,"engineering,_production_and_construction",M,17
2018,Number,education,M,35
2018,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,13
2018,Number,"business,_administration_and_law",M,36
2018,Number,"natural_sciences,_mathematics_and_statistics",M,18
2018,Number,services,M,3
2018,Number,health_and_social_protection,M,85
2018,Number,Total,F,208
2018,Number,"social_sciences,_journalism_and_information",F,37
2018,Number,arts_and_humanities,F,30
2018,Number,information_and_communication_technologies,F,17
2018,Number,"engineering,_production_and_construction",F,16
2018,Number,education,F,20
2018,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,14
2018,Number,"business,_administration_and_law",F,31
2018,Number,"natural_sciences,_mathematics_and_statistics",F,5
2018,Number,services,F,0
2018,Number,health_and_social_protection,F,38
2019,Number,Total,Both sexes,466
2019,Number,"social_sciences,_journalism_and_information",Both sexes,148
2019,Number,arts_and_humanities,Both sexes,59
2019,Number,information_and_communication_technologies,Both sexes,10
2019,Number,"engineering,_production_and_construction",Both sexes,30
2019,Number,education,Both sexes,48
2019,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Both sexes,11
2019,Number,"business,_administration_and_law",Both sexes,35
2019,Number,"natural_sciences,_mathematics_and_statistics",Both sexes,24
2019,Number,services,Both sexes,1
2019,Number,health_and_social_protection,Both sexes,100
2019,Number,Total,M,188
2019,Number,"social_sciences,_journalism_and_information",M,65
2019,Number,arts_and_humanities,M,21
2019,Number,information_and_communication_technologies,M,6
2019,Number,"engineering,_production_and_construction",M,12
2019,Number,education,M,12
2019,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,4
2019,Number,"business,_administration_and_law",M,22
2019,Number,"natural_sciences,_mathematics_and_statistics",M,9
2019,Number,services,M,1
2019,Number,health_and_social_protection,M,36
2019,Number,Total,F,278
2019,Number,"social_sciences,_journalism_and_information",F,83
2019,Number,arts_and_humanities,F,38
2019,Number,information_and_communication_technologies,F,4
2019,Number,"engineering,_production_and_construction",F,18
2019,Number,education,F,36
2019,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,7
2019,Number,"business,_administration_and_law",F,13
2019,Number,"natural_sciences,_mathematics_and_statistics",F,15
2019,Number,services,F,0
2019,Number,health_and_social_protection,F,64
2020,Number,Total,Both sexes,384
2020,Number,"social_sciences,_journalism_and_information",Both sexes,86
2020,Number,arts_and_humanities,Both sexes,65
2020,Number,information_and_communication_technologies,Both sexes,11
