Year,UNIT_MEASURE,Oblast obrazovanja,Value
2017,Broj,Obrazovanje,542
2017,Broj,Umjetnost i humanističke nauke,429
2017,Broj,"Društvene nauke, novinarstvo i informisanje",725
2017,Broj,"Poslovanje, administracija i pravo",1677
2017,Broj,"Prirodne nauke, matematika i statistika",209
2017,Broj,Informacione i komunikacione tehnologije,262
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",367
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",205
2017,Broj,Zdravstvo i socijalna zaštita,547
2017,Broj,Usluge,118
2018,Broj,Obrazovanje,459
2018,Broj,Umjetnost i humanističke nauke,403
2018,Broj,"Društvene nauke, novinarstvo i informisanje",524
2018,Broj,"Poslovanje, administracija i pravo",1320
2018,Broj,"Prirodne nauke, matematika i statistika",165
2018,Broj,Informacione i komunikacione tehnologije,294
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",464
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",205
2018,Broj,Zdravstvo i socijalna zaštita,629
2018,Broj,Usluge,101
2019,Broj,Obrazovanje,406
2019,Broj,Umjetnost i humanističke nauke,385
2019,Broj,"Društvene nauke, novinarstvo i informisanje",482
2019,Broj,"Poslovanje, administracija i pravo",1110
2019,Broj,"Prirodne nauke, matematika i statistika",168
2019,Broj,Informacione i komunikacione tehnologije,231
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",461
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",238
2019,Broj,Zdravstvo i socijalna zaštita,534
2019,Broj,Usluge,129
2020,Broj,Obrazovanje,336
2020,Broj,Umjetnost i humanističke nauke,433
2020,Broj,"Društvene nauke, novinarstvo i informisanje",588
2020,Broj,"Poslovanje, administracija i pravo",991
2020,Broj,"Prirodne nauke, matematika i statistika",166
2020,Broj,Informacione i komunikacione tehnologije,254
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",438
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",229
2020,Broj,Zdravstvo i socijalna zaštita,590
2020,Broj,Usluge,159
2021,Broj,Obrazovanje,331
2021,Broj,Umjetnost i humanističke nauke,341
2021,Broj,"Društvene nauke, novinarstvo i informisanje",553
2021,Broj,"Poslovanje, administracija i pravo",753
2021,Broj,"Prirodne nauke, matematika i statistika",122
2021,Broj,Informacione i komunikacione tehnologije,269
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",453
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",189
2021,Broj,Zdravstvo i socijalna zaštita,501
2021,Broj,Usluge,73
2022,Broj,Obrazovanje,268
2022,Broj,Umjetnost i humanističke nauke,312
2022,Broj,"Društvene nauke, novinarstvo i informisanje",511
2022,Broj,"Poslovanje, administracija i pravo",635
2022,Broj,"Prirodne nauke, matematika i statistika",157
2022,Broj,Informacione i komunikacione tehnologije,228
2022,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",418
2022,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",164
2022,Broj,Zdravstvo i socijalna zaštita,591
2022,Broj,Usluge,102
2023,Broj,Obrazovanje,264
2023,Broj,Umjetnost i humanističke nauke,296
2023,Broj,"Društvene nauke, novinarstvo i informisanje",493
2023,Broj,"Poslovanje, administracija i pravo",648
2023,Broj,"Prirodne nauke, matematika i statistika",99
2023,Broj,Informacione i komunikacione tehnologije,252
2023,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",317
2023,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",112
2023,Broj,Zdravstvo i socijalna zaštita,516
2023,Broj,Usluge,105
2024,Broj,Obrazovanje,273
2024,Broj,Umjetnost i humanističke nauke,257
2024,Broj,"Društvene nauke, novinarstvo i informisanje",474
2024,Broj,"Poslovanje, administracija i pravo",538
2024,Broj,"Prirodne nauke, matematika i statistika",100
2024,Broj,Informacione i komunikacione tehnologije,256
2024,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",338
2024,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",132
2024,Broj,Zdravstvo i socijalna zaštita,579
2024,Broj,Usluge,88
