Year,UNIT_MEASURE,Пол,Старосна доб,Value
2020,% од укупно,Оба пола,15+,45.5
2020,% од укупно,Оба пола,15 - 24,24.2
2020,% од укупно,Оба пола,25 - 49,69.9
2020,% од укупно,Оба пола,50 - 64,52.4
2020,% од укупно,Оба пола,15 - 64,56.5
2020,% од укупно,M,15+,52.7
2020,% од укупно,M,15 - 24,28.6
2020,% од укупно,M,25 - 49,75.0
2020,% од укупно,M,50 - 64,63.2
2020,% од укупно,M,15 - 64,63.4
2020,% од укупно,Ж,15+,38.8
2020,% од укупно,Ж,15 - 24,19.4
2020,% од укупно,Ж,25 - 49,64.6
2020,% од укупно,Ж,50 - 64,42.1
2020,% од укупно,Ж,15 - 64,49.5
