Year,UNIT_MEASURE,Vrsta ustanove,Pol,Value
2016,Broj,Ukupno,Oba pola,9953
2016,Broj,Ukupno,M,5184
2016,Broj,Ukupno,Ž,4769
2017,Broj,Ukupno,Oba pola,10240
2017,Broj,Ukupno,M,5298
2017,Broj,Ukupno,Ž,4942
2018,Broj,Ukupno,Oba pola,12156
2018,Broj,Ukupno,M,6341
2018,Broj,Ukupno,Ž,5815
2019,Broj,Ukupno,Oba pola,13138
2019,Broj,Ukupno,M,6801
2019,Broj,Ukupno,Ž,6337
2020,Broj,Ukupno,Oba pola,11247
2020,Broj,Ukupno,M,5852
2020,Broj,Ukupno,Ž,5395
2016,Broj,Javna,Oba pola,7454
2016,Broj,Javna,M,3869
2016,Broj,Javna,Ž,3585
2017,Broj,Javna,Oba pola,7773
2017,Broj,Javna,M,4012
2017,Broj,Javna,Ž,3761
2018,Broj,Javna,Oba pola,8553
2018,Broj,Javna,M,4485
2018,Broj,Javna,Ž,4068
2019,Broj,Javna,Oba pola,9074
2019,Broj,Javna,M,4704
2019,Broj,Javna,Ž,4370
2020,Broj,Javna,Oba pola,7774
2020,Broj,Javna,M,4043
2020,Broj,Javna,Ž,3731
2016,Broj,Privatna,Oba pola,2499
2016,Broj,Privatna,M,1315
2016,Broj,Privatna,Ž,1184
2017,Broj,Privatna,Oba pola,2467
2017,Broj,Privatna,M,1286
2017,Broj,Privatna,Ž,1181
2018,Broj,Privatna,Oba pola,3603
2018,Broj,Privatna,M,1856
2018,Broj,Privatna,Ž,1747
2019,Broj,Privatna,Oba pola,4064
2019,Broj,Privatna,M,2097
2019,Broj,Privatna,Ž,1967
2020,Broj,Privatna,Oba pola,3473
2020,Broj,Privatna,M,1809
2020,Broj,Privatna,Ž,1664
