Year,UNIT_MEASURE,Vrsta ustanove,Pol,Value
2016,Broj,Ukupno,Ukupno,9953
2016,Broj,Ukupno,M,5184
2016,Broj,Ukupno,Ž,4769
2017,Broj,Ukupno,Ukupno,10240
2017,Broj,Ukupno,M,5298
2017,Broj,Ukupno,Ž,4942
2018,Broj,Ukupno,Ukupno,12156
2018,Broj,Ukupno,M,6341
2018,Broj,Ukupno,Ž,5815
2019,Broj,Ukupno,Ukupno,13138
2019,Broj,Ukupno,M,6801
2019,Broj,Ukupno,Ž,6337
2020,Broj,Ukupno,Ukupno,11247
2020,Broj,Ukupno,M,5852
2020,Broj,Ukupno,Ž,5395
2016,Broj,Javna,Ukupno,7454
2016,Broj,Javna,M,3869
2016,Broj,Javna,Ž,3585
2017,Broj,Javna,Ukupno,7773
2017,Broj,Javna,M,4012
2017,Broj,Javna,Ž,3761
2018,Broj,Javna,Ukupno,8553
2018,Broj,Javna,M,4485
2018,Broj,Javna,Ž,4068
2019,Broj,Javna,Ukupno,9074
2019,Broj,Javna,M,4704
2019,Broj,Javna,Ž,4370
2020,Broj,Javna,Ukupno,7774
2020,Broj,Javna,M,4043
2020,Broj,Javna,Ž,3731
2016,Broj,Privatna,Ukupno,2499
2016,Broj,Privatna,M,1315
2016,Broj,Privatna,Ž,1184
2017,Broj,Privatna,Ukupno,2467
2017,Broj,Privatna,M,1286
2017,Broj,Privatna,Ž,1181
2018,Broj,Privatna,Ukupno,3603
2018,Broj,Privatna,M,1856
2018,Broj,Privatna,Ž,1747
2019,Broj,Privatna,Ukupno,4064
2019,Broj,Privatna,M,2097
2019,Broj,Privatna,Ž,1967
2020,Broj,Privatna,Ukupno,3473
2020,Broj,Privatna,M,1809
2020,Broj,Privatna,Ž,1664
2021,Broj,Ukupno,Ukupno,14091
2021,Broj,Ukupno,M,7345
2021,Broj,Ukupno,Ž,6746
2021,Broj,Javna,Ukupno,9814
2021,Broj,Javna,M,5142
2021,Broj,Javna,Ž,4672
2021,Broj,Privatna,Ukupno,4277
2021,Broj,Privatna,M,2203
2021,Broj,Privatna,Ž,2074
2022,Broj,Ukupno,Ukupno,15729
2022,Broj,Ukupno,M,8350
2022,Broj,Ukupno,Ž,7379
2022,Broj,Javna,Ukupno,10832
2022,Broj,Javna,M,5748
2022,Broj,Javna,Ž,5084
2022,Broj,Privatna,Ukupno,4897
2022,Broj,Privatna,M,2602
2022,Broj,Privatna,Ž,2295
2023,Broj,Ukupno,Ukupno,16807
2023,Broj,Ukupno,M,8822
2023,Broj,Ukupno,Ž,7985
2023,Broj,Javna,Ukupno,11500
2023,Broj,Javna,M,6076
2023,Broj,Javna,Ž,5424
2023,Broj,Privatna,Ukupno,5307
2023,Broj,Privatna,M,2746
2023,Broj,Privatna,Ž,2561
